team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata,Eden Gardens,2011,Kolkata Knight Riders,field,Kochi Tuskers Kerala,6,0
Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2007/08,Delhi Daredevils,bat,Kings XI Punjab,0,4
Rajasthan Royals,Chennai Super Kings,Ahmedabad,"Sardar Patel Stadium, Motera",2015,Chennai Super Kings,bat,Rajasthan Royals,0,8
Mumbai Indians,Delhi Daredevils,Mumbai,Wankhede Stadium,2012,Delhi Daredevils,field,Delhi Daredevils,0,7
Royal Challengers Bengaluru,Punjab Kings,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025,Punjab Kings,field,Royal Challengers Bengaluru,6,0
Delhi Capitals,Punjab Kings,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,Punjab Kings,field,Punjab Kings,0,4
Rajasthan Royals,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,2007/08,Rajasthan Royals,field,Rajasthan Royals,0,5
Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2012,Delhi Daredevils,field,Royal Challengers Bangalore,21,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Rajasthan Royals,field,Sunrisers Hyderabad,44,0
Chennai Super Kings,Delhi Capitals,NA,Sharjah Cricket Stadium,2020/21,Chennai Super Kings,bat,Delhi Capitals,0,5
Mumbai Indians,Gujarat Lions,Mumbai,Wankhede Stadium,2016,Gujarat Lions,field,Gujarat Lions,0,3
Mumbai Indians,Delhi Daredevils,Mumbai,Wankhede Stadium,2018,Delhi Daredevils,field,Delhi Daredevils,0,7
Sunrisers Hyderabad,Delhi Daredevils,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015,Delhi Daredevils,bat,Delhi Daredevils,4,0
Royal Challengers Bangalore,Kolkata Knight Riders,NA,Sharjah Cricket Stadium,2020/21,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,82,0
Kolkata Knight Riders,Lucknow Super Giants,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Lucknow Super Giants,field,Kolkata Knight Riders,98,0
Royal Challengers Bangalore,Deccan Chargers,Cape Town,Newlands,2009,Deccan Chargers,bat,Deccan Chargers,24,0
Chennai Super Kings,Lucknow Super Giants,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Lucknow Super Giants,field,Lucknow Super Giants,0,8
Rajasthan Royals,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2022,Rajasthan Royals,bat,Gujarat Titans,0,7
Kings XI Punjab,Gujarat Lions,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,Gujarat Lions,field,Gujarat Lions,0,6
Rajasthan Royals,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,2011,Rajasthan Royals,field,Chennai Super Kings,63,0
Kings XI Punjab,Deccan Chargers,Dharamsala,Himachal Pradesh Cricket Association Stadium,2011,Kings XI Punjab,field,Deccan Chargers,82,0
Gujarat Titans,Lucknow Super Giants,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2023,Lucknow Super Giants,field,Gujarat Titans,56,0
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,5,0
Gujarat Titans,Mumbai Indians,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2023,Mumbai Indians,field,Gujarat Titans,62,0
Mumbai Indians,Deccan Chargers,Mumbai,Brabourne Stadium,2009/10,Mumbai Indians,bat,Mumbai Indians,63,0
Rajasthan Royals,Gujarat Titans,Kolkata,"Eden Gardens, Kolkata",2022,Gujarat Titans,field,Gujarat Titans,0,7
Pune Warriors,Sunrisers Hyderabad,Pune,Maharashtra Cricket Association Stadium,2013,Pune Warriors,field,Sunrisers Hyderabad,11,0
Mumbai Indians,Gujarat Titans,Mumbai,"Brabourne Stadium, Mumbai",2022,Gujarat Titans,field,Mumbai Indians,5,0
Mumbai Indians,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021,Delhi Capitals,field,Delhi Capitals,0,4
Rajasthan Royals,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,2015,Rajasthan Royals,field,Sunrisers Hyderabad,7,0
Delhi Daredevils,Mumbai Indians,Delhi,Feroz Shah Kotla,2009/10,Delhi Daredevils,field,Mumbai Indians,98,0
Gujarat Titans,Rajasthan Royals,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Rajasthan Royals,field,Gujarat Titans,37,0
Mumbai Indians,Kings XI Punjab,Mumbai,Wankhede Stadium,2014,Kings XI Punjab,bat,Mumbai Indians,0,5
Kochi Tuskers Kerala,Chennai Super Kings,Kochi,Nehru Stadium,2011,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,7
Deccan Chargers,Mumbai Indians,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2012,Deccan Chargers,bat,Mumbai Indians,0,5
Chennai Super Kings,Rajasthan Royals,Chennai,"MA Chidambaram Stadium, Chepauk",2011,Rajasthan Royals,bat,Chennai Super Kings,0,8
Lucknow Super Giants,Sunrisers Hyderabad,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,6
Royal Challengers Bangalore,Mumbai Indians,Port Elizabeth,St George's Park,2009,Mumbai Indians,bat,Mumbai Indians,16,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,2016,Mumbai Indians,field,Mumbai Indians,0,6
Kings XI Punjab,Kolkata Knight Riders,Cuttack,Barabati Stadium,2014,Kolkata Knight Riders,field,Kolkata Knight Riders,0,9
Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2019,Rajasthan Royals,field,Rajasthan Royals,0,3
Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,2019,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8
Kolkata Knight Riders,Rising Pune Supergiant,Kolkata,Eden Gardens,2017,Rising Pune Supergiant,field,Rising Pune Supergiant,0,4
Rajasthan Royals,Delhi Daredevils,Jaipur,Sawai Mansingh Stadium,2007/08,Rajasthan Royals,field,Rajasthan Royals,0,3
Rising Pune Supergiant,Royal Challengers Bangalore,Pune,Maharashtra Cricket Association Stadium,2017,Royal Challengers Bangalore,field,Rising Pune Supergiant,61,0
Chennai Super Kings,Lucknow Super Giants,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Lucknow Super Giants,field,Chennai Super Kings,12,0
Chennai Super Kings,Delhi Daredevils,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Chennai Super Kings,field,Chennai Super Kings,0,9
Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,2015,Kings XI Punjab,bat,Kolkata Knight Riders,0,1
Delhi Daredevils,Rajasthan Royals,Delhi,Feroz Shah Kotla,2009/10,Delhi Daredevils,bat,Delhi Daredevils,67,0
Kings XI Punjab,Sunrisers Hyderabad,NA,Dubai International Cricket Stadium,2020/21,Sunrisers Hyderabad,field,Kings XI Punjab,12,0
Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,2017,Delhi Daredevils,bat,Delhi Daredevils,51,0
Deccan Chargers,Delhi Daredevils,Durban,Kingsmead,2009,Deccan Chargers,field,Delhi Daredevils,12,0
Delhi Capitals,Kolkata Knight Riders,NA,Sharjah Cricket Stadium,2020/21,Kolkata Knight Riders,field,Delhi Capitals,18,0
Rajasthan Royals,Kolkata Knight Riders,Mumbai,Brabourne Stadium,2015,Rajasthan Royals,bat,Rajasthan Royals,9,0
Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",2007/08,Kolkata Knight Riders,bat,Chennai Super Kings,0,9
Chennai Super Kings,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024,Sunrisers Hyderabad,field,Chennai Super Kings,78,0
Mumbai Indians,Rising Pune Supergiants,Mumbai,Wankhede Stadium,2016,Mumbai Indians,bat,Rising Pune Supergiants,0,9
Mumbai Indians,Kolkata Knight Riders,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5
Royal Challengers Bengaluru,Delhi Capitals,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024,Delhi Capitals,field,Royal Challengers Bengaluru,47,0
Chennai Super Kings,Punjab Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024,Punjab Kings,field,Punjab Kings,0,7
Pune Warriors,Chennai Super Kings,Pune,Subrata Roy Sahara Stadium,2012,Chennai Super Kings,bat,Pune Warriors,0,7
Chennai Super Kings,Deccan Chargers,East London,Buffalo Park,2009,Chennai Super Kings,bat,Chennai Super Kings,78,0
Gujarat Titans,Lucknow Super Giants,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Lucknow Super Giants,field,Lucknow Super Giants,0,6
Rajasthan Royals,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,2007/08,Chennai Super Kings,bat,Rajasthan Royals,0,8
Royal Challengers Bangalore,Mumbai Indians,Chennai,"MA Chidambaram Stadium, Chepauk",2011,Mumbai Indians,field,Royal Challengers Bangalore,43,0
Chennai Super Kings,Delhi Daredevils,Durban,Kingsmead,2009,Delhi Daredevils,bat,Delhi Daredevils,9,0
Sunrisers Hyderabad,Chennai Super Kings,NA,Dubai International Cricket Stadium,2020/21,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,7,0
Kolkata Knight Riders,Rajasthan Royals,NA,Dubai International Cricket Stadium,2020/21,Rajasthan Royals,field,Kolkata Knight Riders,60,0
Kings XI Punjab,Mumbai Indians,Indore,Holkar Cricket Stadium,2018,Mumbai Indians,field,Mumbai Indians,0,6
Chennai Super Kings,Kings XI Punjab,Chennai,"MA Chidambaram Stadium, Chepauk",2013,Chennai Super Kings,bat,Chennai Super Kings,15,0
Rajasthan Royals,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,2019,Chennai Super Kings,field,Chennai Super Kings,0,4
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,7
Mumbai Indians,Kolkata Knight Riders,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Kolkata Knight Riders,field,Mumbai Indians,49,0
Sunrisers Hyderabad,Delhi Daredevils,NA,Dubai International Cricket Stadium,2014,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,4,0
Delhi Daredevils,Chennai Super Kings,Raipur,Shaheed Veer Narayan Singh International Stadium,2015,Chennai Super Kings,bat,Delhi Daredevils,0,6
Chennai Super Kings,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk",2013,Chennai Super Kings,field,Chennai Super Kings,0,4
Chennai Super Kings,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021,Chennai Super Kings,bat,Chennai Super Kings,69,0
Deccan Chargers,Kolkata Knight Riders,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,Deccan Chargers,field,Kolkata Knight Riders,20,0
Mumbai Indians,Chennai Super Kings,Kolkata,Eden Gardens,2015,Chennai Super Kings,field,Mumbai Indians,41,0
Royal Challengers Bangalore,Delhi Daredevils,Johannesburg,New Wanderers Stadium,2009,Delhi Daredevils,bat,Royal Challengers Bangalore,0,7
Chennai Super Kings,Kings XI Punjab,Durban,Kingsmead,2009,Chennai Super Kings,bat,Chennai Super Kings,24,0
Royal Challengers Bangalore,Chennai Super Kings,Johannesburg,New Wanderers Stadium,2009,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6
Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2016,Mumbai Indians,field,Mumbai Indians,0,6
Pune Warriors,Kings XI Punjab,Pune,Subrata Roy Sahara Stadium,2012,Pune Warriors,bat,Pune Warriors,22,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2013,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8
Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2013,Kolkata Knight Riders,bat,Mumbai Indians,0,5
Royal Challengers Bangalore,Kolkata Knight Riders,Centurion,SuperSport Park,2009,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013,Kings XI Punjab,bat,Sunrisers Hyderabad,0,5
Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,2013,Kings XI Punjab,field,Kings XI Punjab,0,5
Chennai Super Kings,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021,Rajasthan Royals,field,Rajasthan Royals,0,7
Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2007/08,Royal Challengers Bangalore,field,Delhi Daredevils,10,0
Pune Warriors,Kings XI Punjab,Pune,Subrata Roy Sahara Stadium,2013,Pune Warriors,bat,Kings XI Punjab,0,8
Delhi Daredevils,Chennai Super Kings,Delhi,Feroz Shah Kotla,2009/10,Delhi Daredevils,bat,Chennai Super Kings,0,5
Kolkata Knight Riders,Deccan Chargers,Kolkata,Eden Gardens,2009/10,Kolkata Knight Riders,bat,Kolkata Knight Riders,24,0
Delhi Daredevils,Gujarat Lions,Delhi,Feroz Shah Kotla,2016,Delhi Daredevils,field,Gujarat Lions,1,0
Mumbai Indians,Rajasthan Royals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2024,Mumbai Indians,bat,Rajasthan Royals,0,9
Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2014,Royal Challengers Bangalore,field,Mumbai Indians,19,0
Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2009/10,Delhi Daredevils,field,Delhi Daredevils,0,5
Mumbai Indians,Royal Challengers Bangalore,Bengaluru,M.Chinnaswamy Stadium,2019,Royal Challengers Bangalore,field,Mumbai Indians,6,0
Royal Challengers Bangalore,Chennai Super Kings,Mumbai,Wankhede Stadium,2011,Chennai Super Kings,field,Chennai Super Kings,0,6
Punjab Kings,Mumbai Indians,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,Mumbai Indians,field,Mumbai Indians,0,6
Mumbai Indians,Kings XI Punjab,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,Mumbai Indians,bat,Kings XI Punjab,0,7
Chennai Super Kings,Rajasthan Royals,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Chennai Super Kings,bat,Rajasthan Royals,0,7
Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2007/08,Mumbai Indians,bat,Royal Challengers Bangalore,0,5
Punjab Kings,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2022,Punjab Kings,bat,Rajasthan Royals,0,6
Rajasthan Royals,Delhi Capitals,Guwahati,"Barsapara Cricket Stadium, Guwahati",2023,Delhi Capitals,field,Rajasthan Royals,57,0
Mumbai Indians,Kolkata Knight Riders,Abu Dhabi,Sheikh Zayed Stadium,2014,Kolkata Knight Riders,bat,Kolkata Knight Riders,41,0
Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2012,Mumbai Indians,field,Mumbai Indians,0,2
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016,Kings XI Punjab,field,Royal Challengers Bangalore,1,0
Rajasthan Royals,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,2007/08,Kings XI Punjab,bat,Rajasthan Royals,0,6
Royal Challengers Bangalore,Sunrisers Hyderabad,NA,Sharjah Cricket Stadium,2020/21,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5
Delhi Daredevils,Kolkata Knight Riders,Delhi,Feroz Shah Kotla,2011,Delhi Daredevils,field,Kolkata Knight Riders,17,0
Royal Challengers Bangalore,Lucknow Super Giants,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Lucknow Super Giants,field,Royal Challengers Bangalore,18,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M.Chinnaswamy Stadium,2018,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Delhi Daredevils,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,2014,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8
Sunrisers Hyderabad,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,2015,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8
Kings XI Punjab,Rajasthan Royals,Pune,Maharashtra Cricket Association Stadium,2015,Kings XI Punjab,field,Rajasthan Royals,26,0
Sunrisers Hyderabad,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013,Delhi Daredevils,bat,Sunrisers Hyderabad,0,6
Royal Challengers Bengaluru,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Chennai Super Kings,field,Royal Challengers Bengaluru,50,0
Mumbai Indians,Kings XI Punjab,Mumbai,Brabourne Stadium,2009/10,Mumbai Indians,field,Mumbai Indians,0,4
Kings XI Punjab,Mumbai Indians,Durban,Kingsmead,2009,Kings XI Punjab,bat,Kings XI Punjab,3,0
Mumbai Indians,Deccan Chargers,Mumbai,Wankhede Stadium,2012,Mumbai Indians,field,Mumbai Indians,0,5
Royal Challengers Bangalore,Mumbai Indians,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Mumbai Indians,field,Mumbai Indians,0,5
Gujarat Titans,Sunrisers Hyderabad,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025,Sunrisers Hyderabad,field,Gujarat Titans,38,0
Royal Challengers Bangalore,Deccan Chargers,Mumbai,Dr DY Patil Sports Academy,2009/10,Deccan Chargers,bat,Royal Challengers Bangalore,0,9
Kings XI Punjab,Gujarat Lions,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016,Gujarat Lions,field,Gujarat Lions,0,5
Delhi Daredevils,Deccan Chargers,Centurion,SuperSport Park,2009,Deccan Chargers,field,Deccan Chargers,0,6
Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2007/08,Mumbai Indians,field,Mumbai Indians,0,9
Royal Challengers Bangalore,Chennai Super Kings,Durban,Kingsmead,2009,Chennai Super Kings,bat,Royal Challengers Bangalore,0,2
Rajasthan Royals,Delhi Capitals,Mumbai,"Wankhede Stadium, Mumbai",2022,Delhi Capitals,field,Rajasthan Royals,15,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2011,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4
Gujarat Lions,Mumbai Indians,Kanpur,Green Park,2016,Gujarat Lions,field,Gujarat Lions,0,6
Mumbai Indians,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2017,Mumbai Indians,field,Mumbai Indians,0,6
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,8
Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,2009/10,Delhi Daredevils,bat,Kings XI Punjab,0,7
Kolkata Knight Riders,Chennai Super Kings,Chennai,MA Chidambaram Stadium,2019,Chennai Super Kings,field,Chennai Super Kings,0,7
Royal Challengers Bangalore,Mumbai Indians,NA,Dubai International Cricket Stadium,2014,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7
Delhi Daredevils,Mumbai Indians,East London,Buffalo Park,2009,Mumbai Indians,bat,Delhi Daredevils,0,7
Sunrisers Hyderabad,Gujarat Titans,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Gujarat Titans,field,Gujarat Titans,0,7
Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,2009/10,Kolkata Knight Riders,bat,Kings XI Punjab,0,8
Mumbai Indians,Lucknow Super Giants,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Lucknow Super Giants,field,Lucknow Super Giants,0,4
Chennai Super Kings,Rajasthan Royals,Chennai,"MA Chidambaram Stadium, Chepauk",2007/08,Rajasthan Royals,bat,Rajasthan Royals,10,0
Pune Warriors,Delhi Daredevils,Pune,Subrata Roy Sahara Stadium,2012,Pune Warriors,bat,Delhi Daredevils,0,8
Royal Challengers Bangalore,Pune Warriors,Bangalore,M Chinnaswamy Stadium,2012,Pune Warriors,bat,Royal Challengers Bangalore,0,6
Kolkata Knight Riders,Delhi Daredevils,Kolkata,Eden Gardens,2017,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Kolkata Knight Riders,Delhi Daredevils,Kolkata,Eden Gardens,2015,Kolkata Knight Riders,bat,Kolkata Knight Riders,13,0
Delhi Capitals,Lucknow Super Giants,Delhi,"Arun Jaitley Stadium, Delhi",2024,Lucknow Super Giants,field,Delhi Capitals,19,0
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,2011,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8
Royal Challengers Bangalore,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,2017,Mumbai Indians,field,Mumbai Indians,0,4
Mumbai Indians,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021,Mumbai Indians,bat,Mumbai Indians,13,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2017,Kolkata Knight Riders,field,Mumbai Indians,9,0
Pune Warriors,Mumbai Indians,Pune,Subrata Roy Sahara Stadium,2012,Mumbai Indians,bat,Mumbai Indians,1,0
Delhi Capitals,Royal Challengers Bengaluru,Delhi,"Arun Jaitley Stadium, Delhi",2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,6
Mumbai Indians,Delhi Daredevils,Mumbai,Wankhede Stadium,2011,Delhi Daredevils,field,Mumbai Indians,32,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2009/10,Mumbai Indians,bat,Kolkata Knight Riders,0,9
Kolkata Knight Riders,Delhi Daredevils,Kolkata,Eden Gardens,2012,Delhi Daredevils,field,Delhi Daredevils,0,8
Punjab Kings,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Punjab Kings,bat,Sunrisers Hyderabad,0,8
Rajasthan Royals,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Chennai Super Kings,field,Rajasthan Royals,3,0
Royal Challengers Bangalore,Punjab Kings,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Punjab Kings,field,Punjab Kings,0,5
Rajasthan Royals,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,2012,Kings XI Punjab,field,Rajasthan Royals,31,0
Delhi Capitals,Gujarat Titans,Delhi,"Arun Jaitley Stadium, Delhi",2023,Gujarat Titans,field,Gujarat Titans,0,6
Chennai Super Kings,Rajasthan Royals,Mumbai,Dr DY Patil Sports Academy,2007/08,Rajasthan Royals,field,Rajasthan Royals,0,3
Rajasthan Royals,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,10
Mumbai Indians,Rajasthan Royals,Mumbai,Dr DY Patil Sports Academy,2007/08,Mumbai Indians,field,Mumbai Indians,0,7
Royal Challengers Bengaluru,Rajasthan Royals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2024,Rajasthan Royals,field,Rajasthan Royals,0,6
Mumbai Indians,Delhi Daredevils,Mumbai,Wankhede Stadium,2013,Mumbai Indians,bat,Mumbai Indians,44,0
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,Rajasthan Royals,bat,Sunrisers Hyderabad,0,5
Rajasthan Royals,Mumbai Indians,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Mumbai Indians,field,Rajasthan Royals,23,0
Kings XI Punjab,Mumbai Indians,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2007/08,Mumbai Indians,field,Kings XI Punjab,66,0
Rajasthan Royals,Royal Challengers Bangalore,Abu Dhabi,Sheikh Zayed Stadium,2014,Rajasthan Royals,field,Rajasthan Royals,0,6
Delhi Daredevils,Kolkata Knight Riders,Raipur,Shaheed Veer Narayan Singh International Stadium,2013,Kolkata Knight Riders,bat,Delhi Daredevils,0,7
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,2012,Kings XI Punjab,field,Kings XI Punjab,0,4
Punjab Kings,Kolkata Knight Riders,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,Punjab Kings,bat,Punjab Kings,16,0
Punjab Kings,Lucknow Super Giants,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2025,Lucknow Super Giants,field,Punjab Kings,37,0
Mumbai Indians,Chennai Super Kings,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Chennai Super Kings,field,Chennai Super Kings,0,5
Delhi Capitals,Chennai Super Kings,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2019,Chennai Super Kings,field,Chennai Super Kings,0,6
Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2009/10,Delhi Daredevils,bat,Delhi Daredevils,37,0
Rajasthan Royals,Pune Warriors,Jaipur,Sawai Mansingh Stadium,2013,Pune Warriors,bat,Rajasthan Royals,0,5
Lucknow Super Giants,Punjab Kings,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Lucknow Super Giants,bat,Lucknow Super Giants,21,0
Mumbai Indians,Punjab Kings,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025,Punjab Kings,field,Punjab Kings,0,7
Sunrisers Hyderabad,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2025,Mumbai Indians,field,Mumbai Indians,0,4
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,23,0
Mumbai Indians,Kings XI Punjab,Mumbai,Wankhede Stadium,2011,Kings XI Punjab,field,Mumbai Indians,23,0
Sunrisers Hyderabad,Gujarat Titans,Mumbai,"Wankhede Stadium, Mumbai",2022,Gujarat Titans,field,Gujarat Titans,0,5
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,M Chinnaswamy Stadium,2007/08,Rajasthan Royals,field,Rajasthan Royals,0,7
Chennai Super Kings,Delhi Capitals,Dubai,Dubai International Cricket Stadium,2021,Delhi Capitals,field,Delhi Capitals,0,3
Delhi Daredevils,Mumbai Indians,Delhi,Feroz Shah Kotla,2013,Mumbai Indians,bat,Delhi Daredevils,0,9
